#Expanded function
#Calculated using Holo_Multipol
#Intensity    Theta angle    Phi angle
0.374074 1948.06 8044.33
0.434307 1948.06 8250.59
0.365938 1948.06 8456.86
0.434103 1948.06 8663.12
0.368949 1948.06 8869.39
0.425091 1948.06 9075.65
0.37541 1948.06 9281.92
0.386119 1948.06 9488.18
0.423266 1948.06 9694.45
0.372289 1948.06 9900.71
0.439116 1948.06 10107
0.362361 1948.06 10313.2
0.439706 1948.06 10519.5
0.366429 1948.06 10725.8
0.403077 1948.06 10932
0.409275 1948.06 11138.3
0.382771 1948.06 11344.6
0.439738 1948.06 11550.8
0.361243 1948.06 11757.1
0.449188 1948.06 11963.4
0.361079 1948.06 12169.6
0.420535 1948.06 12375.9
0.396537 1948.06 12582.2
0.395668 1948.06 12788.4
0.434143 1948.06 12994.7
0.362952 1948.06 13200.9
0.451848 1948.06 13407.2
0.357702 1948.06 13613.5
0.432782 1948.06 13819.7
0.385103 1948.06 14026
0.410685 1948.06 14232.3
0.421293 1948.06 14438.5
0.365948 1948.06 14644.8
0.447895 1948.06 14851.1
0.358387 1948.06 15057.3
0.439185 1948.06 15263.6
0.374115 1948.06 15469.9
0.426395 1948.06 15676.1
0.404733 1948.06 15882.4
0.372869 1948.06 16088.7
0.438749 1948.06 16294.9
0.364266 1948.06 16501.2
0.441335 1948.06 16707.4
0.365471 1948.06 16913.7
0.439066 1948.06 17120
0.389319 1948.06 17326.2
0.385518 1948.06 17532.5
0.425605 1948.06 17738.8
0.372367 1948.06 17945
0.436992 1948.06 18151.3
0.362415 1948.06 18357.6
0.444857 1948.06 18563.8
0.377502 1948.06 18770.1
0.399234 1948.06 18976.4
0.409222 1948.06 19182.6
0.380476 1948.06 19388.9
0.423753 1948.06 19595.2
0.365551 1948.06 19801.4
0.441852 1948.06 20007.7
0.370557 1948.06 20214
0.407636 1948.06 20420.2
0.0968523 2062.65 0
0.0799769 2062.65 196.443
0.0941655 2062.65 392.885
0.0909205 2062.65 589.328
0.0868066 2062.65 785.771
0.0976577 2062.65 982.213
0.0707913 2062.65 1178.66
0.10426 2062.65 1375.1
0.0723045 2062.65 1571.54
0.0995673 2062.65 1767.98
0.0758375 2062.65 1964.43
0.0970357 2062.65 2160.87
0.0803747 2062.65 2357.31
0.0940145 2062.65 2553.75
0.0912247 2062.65 2750.2
0.0862559 2062.65 2946.64
